"addon"
{
	"event_elysium_boss_aether"													"Проявление Пространства"
	"event_elysium_boss_aeon"													"Воплощение Времени"
	"event_elysium_boss_genesis"												"Возникновение Жизни"
	"event_elysium_boss_asura"													"Бог Демонов"
	"event_elysium_boss_broodmother"											"Ткачи Судьбы"
	"event_generic_boss_golem"													"Элементаль Земли"
	"event_generic_boss_scarab"													"Псионический Жук"
	"event_grove_boss_troll_warlord"											"Бог Войны"
	"event_grove_boss_axe"														"Красная Угроза"
	"event_grove_boss_bearmaster"												"Мастер Урсин"
	"event_grove_boss_dragon"													"Древние драконы"
	"event_grove_boss_drowsa"													"Духи Леса"
	"event_sepulcher_boss_prophet"												"Пророк"
	"event_sepulcher_boss_undying"												"Генерал омби
	"event_sepulcher_boss_reaper"												"Мрачный Жнец"
	"event_sepulcher_boss_wraith_king"											"Лорд Смерти"
	"event_solitude_boss_doom"													"Лорд Ада
	"event_solitude_boss_evil_core"												"Сердце Тьмы"
	"event_solitude_boss_twin_demons"											"Демоны-близнецы"
	"event_solitude_boss_warlock"												"Призыватель
	"event_grove_boss_green_dragon"												"Разносчик Чумы"
	"event_grove_boss_greymane"													"Волк у твоей двери"
	"event_grove_boss_vile_archmage"											"Архимаг смерти"
	
	"event_elysium_combat_spiders"												"Разаржённые Пауки
	"event_generic_combat_leshrac"												"Сплетённые Единороги
	"event_generic_combat_ogres"												"Орда Огров"
	"event_generic_combat_slarks"												"Ограбление торгового пути
	"event_grove_combat_bearboys"												"Ураган Урсин"
	"event_grove_combat_roborage"												"Сломанные машины"
	"event_grove_combat_robots"													"Дефектные автоматы"
	"event_grove_combat_roshan"													"Старые друзья"
	"event_grove_combat_slardar"												"Slithereen Queen"
	"event_grove_combat_small_dragons"											"Защинтики леса"
	"event_grove_combat_techies"												"Взрывная машинерия"
	"event_grove_combat_trees"													"Стража леса"
	"event_grove_combat_wolves"													"Стая охотников"
	"event_sepulcher_combat_bone_boys"											"Скелеты воины"
	"event_sepulcher_combat_everything"											"Хранители кладбищ"
	"event_sepulcher_combat_lifestealer"										"Разъяренные пожиратели"
	"event_sepulcher_combat_zombies"											"Живые мертвецы"
	"event_sepulcher_combat_vhouls"												"Нежить-убийцы"
	"event_solitude_combat_commander"											"Демонический генерал"
	"event_solitude_combat_golem"												"Адские Големы"
	"event_solitude_combat_madness_demon"										"Волна безумия"
	"event_solitude_combat_wrath_demon"											"Волна Гнева"
	"event_solitude_combat_sloth_demon"											"Грех Летаргии"
	"event_solitude_combat_angry_wraith"										"Призрачный гнев"
	"event_solitude_combat_prophets"											Призраки из прошлого"
	"event_solitude_combat_corrupt_drow"										"Corrupted Forest Spirits"
	"event_elysium_combat_warlock"												"Priests from Below"
	"event_elysium_combat_reapers"												"The Ferrymen"
	"event_sepulcher_combat_phantoms"											"Deadly Hallows"
	"event_sepulcher_combat_flesh_behemoths"									"Mountain of Flesh"
	"event_solitude_combat_satyrs"												"Beasts of Darkness"
	"event_elysium_combat_fallen_angels"										"The Fallen Ones"
	"event_elysium_combat_archangels"											"Dominio Imperium"
	"event_elysium_combat_drowsas"												"Fighting on Home Turf"
	
	"event_elysium_event_divine_knowledge"										"Divine Knowledge"
	"event_elysium_event_divine_knowledge_Description"							"You encounter a strange artifact, it clearly emanates some strange sort of power. Upon picking it up, knowledge rushes in your brain.\nWhich knowledge do you focus on?"
	"event_elysium_event_divine_knowledge_option_1"								"Combat. <font color=\"lawngreen\">[Gain %event_knowledge_of_combat%.]</font>"
	"event_elysium_event_divine_knowledge_option_2"								"Spells. <font color=\"lawngreen\">[Gain %event_knowledge_of_magic%.]</font>"
	"event_elysium_event_divine_knowledge_option_3"								"Trickery. <font color=\"lawngreen\">[Gain %event_knowledge_of_trickery%.]</font>"
	"event_knowledge_of_combat"													"Blessing: The Art of War"
	"event_knowledge_of_combat_Description"										"You gain 25% bonus damage."
	"event_knowledge_of_magic"													"Blessing: The Ways of Magic"
	"event_knowledge_of_magic_Description"										"You gain 25% cooldown reduction."
	"event_knowledge_of_trickery"												"Blessing: The Tricks of the Trade"
	"event_knowledge_of_trickery_Description"									"You gain 25% evasion."
	
	"event_elysium_event_old_shrine"											"Abandoned Shrine"
	"event_elysium_event_old_shrine_Description"								"You encounter an old, decrepit shrine. What do you decide to do with it?"
	"event_elysium_event_old_shrine_option_1"									"Throw in 800 gold. <font color=\"yellow\">[33% chance of gaining a random Unique relic.]</font>"
	"event_elysium_event_old_shrine_option_2"									"Pray. <font color=\"yellow\">[Replace a Corrupt relic with a Unique one.]</font>"
	"event_elysium_event_old_shrine_option_3"									"Leave. [Nothing happens.]"
	"event_elysium_event_old_shrine_Reward1"									"You've been blessed with a random Unique relic!"
	
	"event_generic_event_defense_or_offense"									"Which is the Best?"
	"event_generic_event_defense_or_offense_Description"						"A mysterious voice speaks to you, asking a simple question: 'Offense or defense?'"
	"event_generic_event_defense_or_offense_option_1"							"Offense. <font color=\"lawngreen\">[Gain %event_gift_of_damage%]</font>"
	"event_generic_event_defense_or_offense_option_2"							"Defense. <font color=\"lawngreen\">[Gain %event_gift_of_defense%]</font>"
	"event_generic_event_defense_or_offense_option_3"							"Balance. <font color=\"lawngreen\">[Gain %event_gift_of_balance%]</font>"
	"event_gift_of_damage"														"Blessing: Gift of Offense"
	"event_gift_of_damage_Description"											"You gain 40 bonus damage and 40 attack speed."
	"event_gift_of_defense"														"Blessing: Gift of Defense"
	"event_gift_of_defense_Description"											"You gain 10 armor and 20% magic resistance."
	"event_gift_of_balance"														"Blessing: Gift of Balance"
	"event_gift_of_balance_Description"											"You gain 10 all stats."
	
	"event_generic_event_fight_or_flight"										"Fight or Flight"
	"event_generic_event_fight_or_flight_Description"							"A mysterious voice speaks to you, informing you of something: 'A great bounty waits ahead, at great cost.'\n\nThis event is a team vote."
	"event_generic_event_fight_or_flight_option_1"								"Seek out. <font color=\"yellow\">[Fight an elite wave.]</font>"
	"event_generic_event_fight_or_flight_option_2"								"Avoid. [Dodge the fight.]"
	
	"event_generic_event_gold_or_relic"											"An Offering"
	"event_generic_event_gold_or_relic_Description"								"A mysterious voice speaks to you, offering you bounties: 'Do you seek gold or power?'"
	"event_generic_event_gold_or_relic_option_1"								"Power. <font color=\"lawngreen\">[Gain a random relic]</font>"
	"event_generic_event_gold_or_relic_option_2"								"Gold. <font color=\"lawngreen\">[Gain 1500 gold.]</font>"
	"event_generic_event_gold_or_relic_option_3"								"Risks. <font color=\"yellow\">[20% chance to get both.]</font>"
	
	"event_generic_event_four_of_a_kind"										"Four of a Kind"
	"event_generic_event_four_of_a_kind_Description"							"A mysterious voice speaks to you, offering you a deal: 'Best my four champions and I will shower you in riches.'"
	"event_generic_event_four_of_a_kind_option_1"								"Fight. [Fight a random boss. Spawns are quadrupled, rewards are quadrupled]"
	"event_generic_event_four_of_a_kind_option_2"								"Decline. [Nothing happens]"
	
	"event_generic_event_protect"												"Protect the Totem"
	"event_generic_event_protect_Description"									"You encounter a strange totem, it seems important. Upon touching it, the earth shudders heavily and you see monsters appearing!"
	"event_generic_event_protect_option_1"										"To battle! [Start combat.]"
	"event_generic_event_protect_Reward1"										"After defeating the horde, you feel reinvigorated! You have gained 2 attribute points!."
	"event_generic_event_protect_Reward2"										"After defeating the horde, you look over to see the totem smashed to bits. Oh well..."
	
	"event_generic_event_surge_of_knowledge"									"Surge of Knowledge"
	"event_generic_event_surge_of_knowledge_Description"						"While traveling, you suddenly come to a brilliant realization! What did you come up with?"
	"event_generic_event_surge_of_knowledge_option_1"							"Consistency is key! <font color=\"lawngreen\">[Gain %event_surge_of_knowledge_damage%]</font>"
	"event_generic_event_surge_of_knowledge_option_2"							"Outlast and adapt! <font color=\"lawngreen\">[Gain %event_surge_of_knowledge_endurance%]</font>"
	"event_generic_event_surge_of_knowledge_option_3"							"Greed is good! <font color=\"lawngreen\">[Gain %event_surge_of_knowledge_greed%]</font>"
	"event_surge_of_knowledge_damage"											"Blessing: Inspiration of Power"
